W09_001,W09_002,W09_003,W09_004
春採湖,"01206",,
涛沸湖,"01211,01547","0","1"
藻琴湖,"01211","0","1"
リヤウシ湖,"01211",,
網走湖,"01211,01542","16","0"
能取湖,"01211","23","0"
ウトナイ湖,"01213","0","5"
大沼,"01214","0","1"
シブノツナイ湖,"01219,01559","0","3"
コムケ湖,"01219","5","1"
長節湖,"01223",,
風蓮湖,"01223,01691","13","0"
温根沼,"01223","0","1"
オコタンペ湖,"01224",,
支笏湖,"01224","360","248"
千歳湖,"01224",,
橘湖,"01230",,
しのつ湖,"01304",,
小沼,"01337","4","129"
大沼,"01337,01345","12","129"
コックリ湖,"01394",,
半月湖,"01400",,
三重湖,"01423",,
犬吼湖,"01488",,
パンケ沼,"01488","0","0"
ペンケ沼,"01488,01516","0","1"
ポロ沼,"01511","2","3"
クッチャロ湖（大沼）,"01512","3","0"
クッチャロ湖（小沼）,"01512","3","0"
兜沼,"01516","0","8"
久種湖,"01517",,
チミケップ湖,"01544","0","290"
一湖（知床五湖）,"01545",,
五湖（知床五湖）,"01545",,
二湖（知床五湖）,"01545",,
四湖（知床五湖）,"01545",,
三湖（知床五湖）,"01545",,
涛釣沼,"01545","0","5"
サロマ湖,"01552,01553,01559","20","0"
幌内ダム貯水池,"01563","0","31"
洞爺湖,"01572,01573,01575","180","84"
倶多楽湖,"01578","148","258"
ポロト湖,"01578",,
豊似湖,"01609",,
東雲湖（東小沼）,"01633",,
然別湖,"01633,01634","0","810"
駒止湖（西小沼）,"01634",,
伏美湖,"01637",,
ホロカヤントウ,"01641","0","1"
湧洞沼,"01641,01645","0","5"
生花苗沼,"01641","0","1"
長節湖,"01645","0","5"
達古武湖,"01661","0","3"
厚岸湖,"01662","11","0"
火散布沼,"01663","0","1"
塘路湖,"01664","0","7"
シラルトロ沼,"01664","0","8"
摩周湖,"01665","211","355"
屈斜路湖,"01665","118","121"
シュンクシタカラ湖,"01666",,
次郎湖,"01666",,
阿寒湖,"01666","45","420"
太郎湖,"01666",,
パンケトー,"01666","0","450"
知西別湖,"01694",,
羅臼湖,"01694",,
野木和湖,"02201",,
廻堰大溜池,"02202,02384","0","13"
藤ノ湖,"02204",,
十三湖,"02205,02209,02387","2","0"
藤枝溜池,"02205","0","7"
十和田湖（東湖・中湖・西湖）,"02206,05303","327","400"
姉沼,"02207,02408","4","0"
小川原湖,"02207,02408,02411","24","0"
宇曽利山湖,"02208","0","209"
田光沼,"02209","0","1"
破池（十二湖）,"02323",,
牛旁ノ池（十二湖）,"02323",,
金山ノ池（十二湖）,"02323",,
糸畑ノ池（十二湖）,"02323",,
長池（十二湖）,"02323",,
青池（十二湖）,"02323",,
八景ノ池（十二湖）,"02323",,
日暮ノ池（十二湖）,"02323",,
鶏頭場ノ池（十二湖）,"02323",,
王池（十二湖）,"02323",,
落口ノ池（十二湖）,"02323",,
越口ノ池（十二湖）,"02323",,
中ノ池（十二湖）,"02323",,
大池（十二湖）,"02323",,
濁池（十二湖）,"02323",,
大沢内溜池,"02387","0","15"
田面木沼,"02411","0","3"
市柳沼,"02411","0","3"
鷹架沼,"02411","0","1"
尾駮沼,"02411","0","3"
内沼,"02411","0","0"
昭和湖,"03209",,
御釜湖,"03306",,
御苗代湖,"03306",,
井土浦,"04100","1","0"
万石浦,"04202,04581","5","0"
伊豆沼,"04212,04213","0","7"
長老湖,"04302",,
鳥の海,"04361","4","0"
浅内沼,"05202","0","7"
八郎潟調整池,"05206,05211,05361,05366,05368","11","0"
田沢湖,"05426,05430","423","249"
須川湖,"05464",,
盃湖,"06201",,
明月湖,"06202",,
明星湖,"06202",,
徳良湖,"06212",,
白竜湖,"06213",,
鳥海湖,"06461",,
猪苗代湖,"07202,07203,07408","94","514"
南湖,"07205",,
松川浦,"07209","0","0"
尾瀬沼,"07364,10443",,
秋元湖,"07402,07408","34","736"
小野川湖,"07402","24","797"
曽原湖,"07402",,
桧原湖,"07402","30","822"
沼沢湖,"07445",,
千波湖,"08201",,
牛久沼,"08208,08220","0","1"
菅生沼,"08211,08228","0","9"
北浦,"08222,08223,08402,08403,08421,08424","7","0"
外浪逆浦,"08223,08406,12209,12344","4","0"
涸沼,"08302,08309,08401","0","1"
夏海湖,"08309",,
西ノ湖,"09206",,
湯ノ湖,"09206",,
蓼ノ湖,"09206",,
刈込湖（切込湖）,"09206",,
りんどう湖,"09407",,
榛名湖,"10309,10321,10423","0","1080"
照月湖,"10424",,
バラギ湖,"10425",,
八丁湖,"11347",,
八幡湖,"12210",,
印旛沼,"12211,12212,12221,12325,12328,12329","0","1"
八鶴湖,"12213",,
手賀沼,"12217,12222","0","4"
震生湖,"14211,14361",,
芦ノ湖,"14382","0","725"
秋葉湖,"15201",,
鳥屋野潟,"15201","0","0"
瓢湖,"15223",,
加茂湖,"15224","0","0"
河北潟,"17201,17365","5","0"
木場潟,"17203","0","1"
北潟湖,"17206,18208","0","5"
柴山潟,"17206","0","2"
邑知潟,"17207","0","3"
日向湖（三方五湖）,"18442","39","0"
久々子湖（三方五湖）,"18442,18501","2","0"
水月湖（三方五湖）,"18501","34","0"
菅湖（三方五湖）,"18501","14","0"
三方湖（三方五湖）,"18501","4","0"
南伊奈ヶ湖,"19208",,
伊奈ヶ湖,"19208",,
本栖湖,"19341,19365","122","900"
精進湖,"19341","15","900"
四尾連湖,"19343",,
山中湖,"19425","13","980"
西湖,"19430","72","900"
河口湖,"19430","15","830"
白樺湖,"20201",,
美笠湖,"20201",,
須川湖,"20203,20341",,
諏訪湖,"20204,20206,20361","8","759"
大沼湖,"20210",,
木崎湖,"20212","0","765"
中綱湖,"20212",,
青木湖,"20212","0","825"
北竜湖,"20213",,
鏡湖,"20214",,
蓼科湖,"20214",,
白樺湖,"20214,20324",,
美笹湖,"20217",,
洞源湖,"20217",,
浅科湖,"20217",,
仙禄湖,"20217",,
大月湖,"20303",,
松原湖,"20303",,
立岩湖,"20306",,
佐口湖,"20309",,
塩沢湖,"20321",,
女神湖,"20324",,
入笠湖,"20362",,
千代田湖,"20381",,
巣山湖,"20404",,
茶臼山湖,"20410",,
聖湖,"20446",,
巣鷹湖,"20563",,
野尻湖（芙蓉湖）,"20583","0","657"
霊仙寺湖,"20584",,
駒鳥池,"22100","0","2425"
佐鳴湖,"22202","0","3"
浜名湖,"22202,22221,22502,22503,22505,22521,22523","12","0"
田貫湖,"22207",,
一碧湖,"22208",,
東山湖,"22215",,
猪鼻湖,"22221,22523","16","0"
早霧湖,"22222",,
白石湖,"24542",,
西の湖,"25204,25381","0","90"
平湖,"25206",,
松ノ木内湖,"25212",,
内湖,"25301",,
余呉湖,"25502,25503","13","132"
阿蘇海,"26205,26462","13","0"
離湖,"26212",,
久美浜湾,"26212","21","0"
通天湖,"26401",,
湖山池,"31201","6","0"
中海,"31202,31204,32201,32206,32304","17","0"
境水道,"31204,32201",,
東郷池,"31370","4","0"
宍道湖,"32201,32203,32401","6","0"
神西湖,"32203","0","0"
蟠竜湖,"32204",,
児島湖,"33201,33204",,
阿部池,"33201","0","0"
福林湖,"33202",,
羽高湖,"34208",,
常盤池,"35202","0","20"
青海湖,"35211",,
えばら湖,"38201",,
江津湖,"43201",,
大江湖,"43463","0","0"
神楽女湖,"44202",,
志高湖,"44202",,
禅淡湖,"44363",,
金鱗湖,"44364",,
池田湖,"46210,46322,46324","233","66"
海鼠池,"46215","0","0"
鰻池,"46322","56","122"
薩摩湖,"46367",,
漫湖,"47201,47212",,
